CHTA_VIBCH_vibrio	ELAP_ECOLX_ecoli	ETXA_STAAU_staph	ETXH_STAAU_staph	PV22_POMCA_snail	ENTC2_STAAU_staph	ETXB_STAAU_staph	ETXE_STAAU_staph	ETXD_STAAU_staph	E2BA_ECOLX_ecoli	ENTC1_STAAU_staph	ELTB_CLOPF_clost	ETXG_STAAU_staph	SPEA_STRPY_strep	E2AA_ECOLX_ecoli	ELAH_ECOH1_ecoli	SSL7_STAA8_staph	SPEC_STRP8_strep	SELX_STAAE_staph	ETXA_STAAE_staph	SELX_STAAU_staph	ETXA_STAAW_staph	ENTC3_STAAM_staph	ENTC3_STAAN_staph	ETXG_STAAM_staph	ETXG_STAAN_staph	ETXH_STAAW_staph	SPEC_STRP1_strep	SPEH_STRPY_strep	SPEH_STRP1_strep	SPEG_STRP3_strep	SPEG_STRPQ_strep	SPEA_BPT12_strep	SPEA_STRP8_strep	SELX_STAA8_staph	SPEC_STRP6_strep	SPEG_STRP1_strep
CHTA_VIBCH_vibrio	0	0.318885448916409	1	0.967801857585139	1	0.969040247678019	1	1	1	0.597523219814242	0.969040247678019	1	1	1	0.595975232198142	0.321981424148607	1	0.969659442724458	1	1	1	1	0.970278637770898	0.970278637770898	1	1	0.967801857585139	0.969040247678019	1	1	1	1	1	1	1	0.969659442724458	1
ELAP_ECOLX_ecoli	0.318885448916409	0	1	1	1	0.970278637770898	0.971362229102167	1	1	0.577399380804954	0.970278637770898	1	1	0.972600619195046	0.582043343653251	0.176470588235294	1	1	1	1	1	1	0.971362229102167	0.971362229102167	1	1	1	1	1	1	0.969040247678019	0.969040247678019	0.971981424148607	0.971981424148607	1	1	0.969659442724458
ETXA_STAAU_staph	1	1	0	0.787925696594427	1	0.842105263157895	0.821981424148607	0.31733746130031	0.606811145510836	1	0.854489164086687	1	0.864705882352941	0.863467492260062	1	1	0.946904024767802	0.912383900928793	0.96656346749226	0.198142414860681	0.9671826625387	0.181114551083591	0.837461300309598	0.837461300309598	0.864705882352941	0.864705882352941	0.787925696594427	0.912383900928793	0.873065015479876	0.873065015479876	0.871826625386997	0.871826625386997	0.8328173374613	0.8328173374613	0.96656346749226	0.912383900928793	0.873065015479876
ETXH_STAAU_staph	0.967801857585139	1	0.787925696594427	0	1	0.902786377708978	0.869969040247678	0.787925696594427	0.797213622291022	0.969040247678019	0.905882352941176	0.969659442724458	0.859907120743034	0.878328173374613	0.967801857585139	1	0.954643962848297	0.905263157894737	0.967801857585139	0.781733746130031	0.96609907120743	0.787925696594427	0.897523219814241	0.897523219814241	0.859907120743034	0.859907120743034	0.253869969040248	0.905263157894737	0.868266253869969	0.868266253869969	0.902786377708978	0.902786377708978	0.8328173374613	0.8328173374613	0.967801857585139	0.905263157894737	0.905263157894737
PV22_POMCA_snail	1	1	1	1	0	0.971981424148607	1	1	1	1	0.971981424148607	1	1	1	1	1	1	1	1	1	1	1	0.971981424148607	0.971981424148607	1	1	1	1	1	1	1	1	1	1	1	1	1
ENTC2_STAAU_staph	0.969040247678019	0.970278637770898	0.842105263157895	0.902786377708978	0.971981424148607	0	0.453560371517028	0.846749226006192	0.829721362229102	0.965479876160991	0.179566563467492	1	0.718266253869969	0.746130030959752	0.970278637770898	0.970278637770898	0.962383900928793	0.91594427244582	0.968421052631579	0.842105263157895	0.968421052631579	0.842105263157895	0.193498452012384	0.193498452012384	0.718266253869969	0.718266253869969	0.902786377708978	0.918266253869969	0.911764705882353	0.911764705882353	0.922445820433436	0.922445820433436	0.681114551083591	0.681114551083591	0.968421052631579	0.91594427244582	0.923684210526316
ETXB_STAAU_staph	1	0.971362229102167	0.821981424148607	0.869969040247678	1	0.453560371517028	0	0.8328173374613	0.815789473684211	0.971362229102167	0.442724458204334	0.969040247678019	0.708978328173375	0.727554179566563	0.96609907120743	0.970743034055728	0.954643962848297	0.929721362229102	0.9671826625387	0.818885448916409	0.9671826625387	0.821981424148607	0.431888544891641	0.431888544891641	0.708978328173375	0.708978328173375	0.869969040247678	0.929721362229102	0.922445820433436	0.922445820433436	0.935603715170279	0.935603715170279	0.665634674922601	0.665634674922601	0.9671826625387	0.929721362229102	0.932043343653251
ETXE_STAAU_staph	1	1	0.31733746130031	0.787925696594427	1	0.846749226006192	0.8328173374613	0	0.585139318885449	0.970743034055728	0.856346749226006	1	0.861609907120743	0.859287925696594	0.971362229102167	1	0.940402476780186	0.901702786377709	0.960061919504644	0.323529411764706	0.960681114551084	0.31733746130031	0.843653250773994	0.843653250773994	0.861609907120743	0.861609907120743	0.787925696594427	0.901083591331269	0.887306501547988	0.887306501547988	0.876625386996904	0.876625386996904	0.829721362229102	0.829721362229102	0.960061919504644	0.901702786377709	0.877708978328173
ETXD_STAAU_staph	1	1	0.606811145510836	0.797213622291022	1	0.829721362229102	0.815789473684211	0.585139318885449	0	1	0.840557275541796	1	0.880185758513932	0.845201238390093	1	1	0.939783281733746	0.890866873065015	0.96656346749226	0.617647058823529	0.967801857585139	0.606811145510836	0.826625386996904	0.826625386996904	0.880185758513932	0.880185758513932	0.797213622291022	0.890866873065015	0.890247678018576	0.890247678018576	0.931424148606811	0.931424148606811	0.808049535603715	0.808049535603715	0.96656346749226	0.890866873065015	0.930185758513932
E2BA_ECOLX_ecoli	0.597523219814242	0.577399380804954	1	0.969040247678019	1	0.965479876160991	0.971362229102167	0.970743034055728	1	0	0.969040247678019	1	1	1	0.386996904024768	0.577399380804954	1	1	1	1	1	1	0.96656346749226	0.96656346749226	1	1	0.969040247678019	1	1	1	1	1	1	1	1	1	1
