id	cluster
CHTA_VIBCH_vibrio	1
ELAP_ECOLX_ecoli	1
ETXA_STAAU_staph	1
ETXH_STAAU_staph	1
PV22_POMCA_snail	2
ENTC2_STAAU_staph	1
ETXB_STAAU_staph	1
ETXE_STAAU_staph	1
ETXD_STAAU_staph	1
E2BA_ECOLX_ecoli	1
ENTC1_STAAU_staph	1
ELTB_CLOPF_clost	3
ETXG_STAAU_staph	1
SPEA_STRPY_strep	1
E2AA_ECOLX_ecoli	1
ELAH_ECOH1_ecoli	1
SSL7_STAA8_staph	4
SPEC_STRP8_strep	4
SELX_STAAE_staph	4
ETXA_STAAE_staph	1
SELX_STAAU_staph	4
ETXA_STAAW_staph	1
ENTC3_STAAM_staph	1
ENTC3_STAAN_staph	1
ETXG_STAAM_staph	1
ETXG_STAAN_staph	1
ETXH_STAAW_staph	1
SPEC_STRP1_strep	4
SPEH_STRPY_strep	1
SPEH_STRP1_strep	1
SPEG_STRP3_strep	4
SPEG_STRPQ_strep	4
SPEA_BPT12_strep	1
SPEA_STRP8_strep	1
SELX_STAA8_staph	4
SPEC_STRP6_strep	4
SPEG_STRP1_strep	4
