CHTA_VIBCH_vibrio	ELAP_ECOLX_ecoli	ETXA_STAAU_staph	ETXH_STAAU_staph	PV22_POMCA_snail	ENTC2_STAAU_staph	ETXB_STAAU_staph	ETXE_STAAU_staph	ETXD_STAAU_staph	E2BA_ECOLX_ecoli	ENTC1_STAAU_staph	ELTB_CLOPF_clost	ETXG_STAAU_staph	SPEA_STRPY_strep	E2AA_ECOLX_ecoli	ELAH_ECOH1_ecoli	SSL7_STAA8_staph	SPEC_STRP8_strep	SELX_STAAE_staph	ETXA_STAAE_staph	SELX_STAAU_staph	ETXA_STAAW_staph	ENTC3_STAAM_staph	ENTC3_STAAN_staph	ETXG_STAAM_staph	ETXG_STAAN_staph	ETXH_STAAW_staph	SPEC_STRP1_strep	SPEH_STRPY_strep	SPEH_STRP1_strep	SPEG_STRP3_strep	SPEG_STRPQ_strep	SPEA_BPT12_strep	SPEA_STRP8_strep	SELX_STAA8_staph	SPEC_STRP6_strep	SPEG_STRP1_strep
CHTA_VIBCH_vibrio	539	440	0	20.8	0	20	0	0	0	260	20	0	0	0	261	438	0	19.6	0	0	0	0	19.2	19.2	0	0	20.8	20	0	0	0	0	0	0	0	19.6	0
ELAP_ECOLX_ecoli	440	536	0	0	0	19.2	18.5	0	0	273	19.2	0	0	17.7	270	532	0	0	0	0	0	0	18.5	18.5	0	0	0	0	0	0	20	20	18.1	18.1	0	0	19.6
ETXA_STAAU_staph	0	0	529	137	0	102	115	441	254	0	94	0	87.4	88.2	0	0	34.3	56.6	21.6	518	21.2	529	105	105	87.4	87.4	137	56.6	82	82	82.8	82.8	108	108	21.6	56.6	82
ETXH_STAAU_staph	20.8	0	137	482	0	62.8	84	137	131	20	60.8	19.6	90.5	78.6	20.8	0	29.3	61.2	20.8	141	21.9	137	66.2	66.2	90.5	90.5	482	61.2	85.1	85.1	62.8	62.8	108	108	20.8	61.2	61.2
PV22_POMCA_snail	0	0	0	0	587	18.1	0	0	0	0	18.1	0	0	0	0	0	0	0	0	0	0	0	18.1	18.1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENTC2_STAAU_staph	20	19.2	102	62.8	18.1	546	353	99	110	22.3	530	0	182	164	19.2	19.2	24.3	54.3	20.4	102	20.4	102	521	521	182	182	62.8	52.8	57	57	50.1	50.1	206	206	20.4	54.3	49.3
ETXB_STAAU_staph	0	18.5	115	84	0	353	543	108	119	18.5	360	20	188	176	21.9	18.9	29.3	45.4	21.2	117	21.2	115	367	367	188	188	84	45.4	50.1	50.1	41.6	41.6	216	216	21.2	45.4	43.9
ETXE_STAAU_staph	0	0	441	137	0	99	108	528	268	18.9	92.8	0	89.4	90.9	18.5	0	38.5	63.5	25.8	437	25.4	441	101	101	89.4	89.4	137	63.9	72.8	72.8	79.7	79.7	110	110	25.8	63.5	79
ETXD_STAAU_staph	0	0	254	131	0	110	119	268	526	0	103	0	77.4	100	0	0	38.9	70.5	21.6	247	20.8	254	112	112	77.4	77.4	131	70.5	70.9	70.9	44.3	44.3	124	124	21.6	70.5	45.1
E2BA_ECOLX_ecoli	260	273	0	20	0	22.3	18.5	18.9	0	543	20	0	0	0	396	273	0	0	0	0	0	0	21.6	21.6	0	0	20	0	0	0	0	0	0	0	0	0	0
ENTC1_STAAU_staph	20	19.2	94	60.8	18.1	530	360	92.8	103	20	545	0	174	164	18.9	19.2	24.3	53.5	20.4	95.9	20	94	511	511	174	174	60.8	53.5	59.7	59.7	49.7	49.7	206	206	20.4	53.5	49.3
ELTB_CLOPF_clost	0	0	0	19.6	0	0	20	0	0	0	0	646	0	0	0	0	20	0	0	0	0	0	0	0	0	0	19.6	0	0	0	0	0	0	0	0	0	0
ETXG_STAAU_staph	0	0	87.4	90.5	0	182	188	89.4	77.4	0	174	0	528	139	0	0	26.6	46.2	23.5	87	23.5	87.4	180	180	528	528	90.5	46.2	51.2	51.2	46.2	46.2	180	180	23.5	46.2	50.8
SPEA_STRPY_strep	0	17.7	88.2	78.6	0	164	176	90.9	100	0	164	0	139	514	17.7	18.1	29.3	49.7	0	89.7	17.7	88.2	166	166	139	139	78.6	49.7	47.8	47.8	33.9	33.9	421	421	0	49.7	34.3
E2AA_ECOLX_ecoli	261	270	0	20.8	0	19.2	21.9	18.5	0	396	18.9	0	0	17.7	536	271	0	0	0	0	18.5	0	0	0	0	0	20.8	0	0	0	0	0	18.9	18.9	0	0	0
ELAH_ECOH1_ecoli	438	532	0	0	0	19.2	18.9	0	0	273	19.2	0	0	18.1	271	536	0	0	0	0	0	0	18.5	18.5	0	0	0	0	0	0	19.6	19.6	18.1	18.1	0	0	19.6
SSL7_STAA8_staph	0	0	34.3	29.3	0	24.3	29.3	38.5	38.9	0	24.3	20	26.6	29.3	0	0	459	52	43.9	34.3	40.8	34.3	24.3	24.3	26.6	26.6	29.3	52	39.3	39.3	45.1	45.1	41.2	41.2	43.9	52	49.3
SPEC_STRP8_strep	19.6	0	56.6	61.2	0	54.3	45.4	63.5	70.5	0	53.5	0	46.2	49.7	0	0	52	472	28.9	57	26.9	56.6	52.8	52.8	46.2	46.2	61.2	470	44.7	44.7	135	135	67.8	67.8	28.9	472	138
SELX_STAAE_staph	0	0	21.6	20.8	0	20.4	21.2	25.8	21.6	0	20.4	0	23.5	0	0	0	43.9	28.9	411	21.2	398	21.6	20.4	20.4	23.5	23.5	20.8	28.9	20.8	20.8	26.9	26.9	21.9	21.9	411	28.9	28.5
ETXA_STAAE_staph	0	0	518	141	0	102	117	437	247	0	95.9	0	87	89.7	0	0	34.3	57	21.2	531	21.2	518	105	105	87	87	141	57	84	84	84	84	109	109	21.2	57	82.8
SELX_STAAU_staph	0	0	21.2	21.9	0	20.4	21.2	25.4	20.8	0	20	0	23.5	17.7	18.5	0	40.8	26.9	398	21.2	410	21.2	20.4	20.4	23.5	23.5	21.9	26.9	21.2	21.2	25	25	21.9	21.9	398	26.9	26.6
ETXA_STAAW_staph	0	0	529	137	0	102	115	441	254	0	94	0	87.4	88.2	0	0	34.3	56.6	21.6	518	21.2	529	105	105	87.4	87.4	137	56.6	82	82	82.8	82.8	108	108	21.6	56.6	82
ENTC3_STAAM_staph	19.2	18.5	105	66.2	18.1	521	367	101	112	21.6	511	0	180	166	0	18.5	24.3	52.8	20.4	105	20.4	105	544	544	180	180	66.2	52	59.3	59.3	49.3	49.3	207	207	20.4	52.8	48.5
ENTC3_STAAN_staph	19.2	18.5	105	66.2	18.1	521	367	101	112	21.6	511	0	180	166	0	18.5	24.3	52.8	20.4	105	20.4	105	544	544	180	180	66.2	52	59.3	59.3	49.3	49.3	207	207	20.4	52.8	48.5
ETXG_STAAM_staph	0	0	87.4	90.5	0	182	188	89.4	77.4	0	174	0	528	139	0	0	26.6	46.2	23.5	87	23.5	87.4	180	180	528	528	90.5	46.2	51.2	51.2	46.2	46.2	180	180	23.5	46.2	50.8
ETXG_STAAN_staph	0	0	87.4	90.5	0	182	188	89.4	77.4	0	174	0	528	139	0	0	26.6	46.2	23.5	87	23.5	87.4	180	180	528	528	90.5	46.2	51.2	51.2	46.2	46.2	180	180	23.5	46.2	50.8
ETXH_STAAW_staph	20.8	0	137	482	0	62.8	84	137	131	20	60.8	19.6	90.5	78.6	20.8	0	29.3	61.2	20.8	141	21.9	137	66.2	66.2	90.5	90.5	482	61.2	85.1	85.1	62.8	62.8	108	108	20.8	61.2	61.2
SPEC_STRP1_strep	20	0	56.6	61.2	0	52.8	45.4	63.9	70.5	0	53.5	0	46.2	49.7	0	0	52	470	28.9	57	26.9	56.6	52	52	46.2	46.2	61.2	472	45.1	45.1	137	137	68.6	68.6	28.9	470	140
SPEH_STRPY_strep	0	0	82	85.1	0	57	50.1	72.8	70.9	0	59.7	0	51.2	47.8	0	0	39.3	44.7	20.8	84	21.2	82	59.3	59.3	51.2	51.2	85.1	45.1	485	485	44.3	44.3	69.3	69.3	20.8	44.7	43.1
SPEH_STRP1_strep	0	0	82	85.1	0	57	50.1	72.8	70.9	0	59.7	0	51.2	47.8	0	0	39.3	44.7	20.8	84	21.2	82	59.3	59.3	51.2	51.2	85.1	45.1	485	485	44.3	44.3	69.3	69.3	20.8	44.7	43.1
SPEG_STRP3_strep	0	20	82.8	62.8	0	50.1	41.6	79.7	44.3	0	49.7	0	46.2	33.9	0	19.6	45.1	135	26.9	84	25	82.8	49.3	49.3	46.2	46.2	62.8	137	44.3	44.3	474	474	47.4	47.4	26.9	135	469
SPEG_STRPQ_strep	0	20	82.8	62.8	0	50.1	41.6	79.7	44.3	0	49.7	0	46.2	33.9	0	19.6	45.1	135	26.9	84	25	82.8	49.3	49.3	46.2	46.2	62.8	137	44.3	44.3	474	474	47.4	47.4	26.9	135	469
SPEA_BPT12_strep	0	18.1	108	108	0	206	216	110	124	0	206	0	180	421	18.9	18.1	41.2	67.8	21.9	109	21.9	108	207	207	180	180	108	68.6	69.3	69.3	47.4	47.4	516	516	21.9	67.8	50.1
SPEA_STRP8_strep	0	18.1	108	108	0	206	216	110	124	0	206	0	180	421	18.9	18.1	41.2	67.8	21.9	109	21.9	108	207	207	180	180	108	68.6	69.3	69.3	47.4	47.4	516	516	21.9	67.8	50.1
SELX_STAA8_staph	0	0	21.6	20.8	0	20.4	21.2	25.8	21.6	0	20.4	0	23.5	0	0	0	43.9	28.9	411	21.2	398	21.6	20.4	20.4	23.5	23.5	20.8	28.9	20.8	20.8	26.9	26.9	21.9	21.9	411	28.9	28.5
SPEC_STRP6_strep	19.6	0	56.6	61.2	0	54.3	45.4	63.5	70.5	0	53.5	0	46.2	49.7	0	0	52	472	28.9	57	26.9	56.6	52.8	52.8	46.2	46.2	61.2	470	44.7	44.7	135	135	67.8	67.8	28.9	472	138
SPEG_STRP1_strep	0	19.6	82	61.2	0	49.3	43.9	79	45.1	0	49.3	0	50.8	34.3	0	19.6	49.3	138	28.5	82.8	26.6	82	48.5	48.5	50.8	50.8	61.2	140	43.1	43.1	469	469	50.1	50.1	28.5	138	476
